"order_id";"shipping_days";"delivery_status";"late_delivery_risk";"customer_segment";"market";"order_city";"order_country";"order_date";"quantity";"Sales";"profit";"order_region";"shipping_date";"shipping_mode";"delivery_days";"delay_status"
1;4;"Shipping on time";0;"Corporate";"Pacific Asia";"Gold Coast";"Australia";"2024-01-01 00:00:00";1;299.980011;"11.52000046";"Oceania";"2024-01-05 00:00:00";"Standard Class";4;"On Time"
2;6;"Late delivery";1;"Home Office";"LATAM";"Jamundí";"Colombia";"2023-05-18 00:00:00";2;29.97999954;"8.710000038";"South America";"2023-05-24 00:00:00";"Second Class";6;"On Time"
3;2;"Advance shipping";0;"Corporate";"USCA";"Philadelphia";"Estados Unidos";"2024-06-29 00:00:00";1;199.9900055;"8.5";"East of USA";"2024-07-01 00:00:00";"Standard Class";2;"On Time"
4;4;"Shipping on time";0;"Consumer";"Europe";"Chelles";"Francia";"2025-08-05 00:00:00";1;49.97999954;"14.35999966";"Western Europe";"2025-08-09 00:00:00";"Standard Class";4;"Delayed"
5;5;"Late delivery";1;"Consumer";"LATAM";"Mexico City";"México";"2023-03-18 00:00:00";2;119.9800034;"11.93000031";"Central America";"2023-03-23 00:00:00";"Second Class";5;"Delayed"
6;2;"Late delivery";1;"Home Office";"Europe";"Zamora";"España";"2023-07-08 00:00:00";1;299.980011;"26.39999962";"Southern Europe";"2023-07-10 00:00:00";"First Class";2;"Delayed"
7;2;"Advance shipping";0;"Home Office";"Pacific Asia";"Manila";"Filipinas";"2025-12-20 00:00:00";1;11.28999996;"2.900000095";"Southeast Asia";"2025-12-22 00:00:00";"Standard Class";2;"Delayed"
8;2;"Late delivery";1;"Consumer";"Pacific Asia";"Tangshan";"China";"2026-01-04 00:00:00";1;210.8500061;"61.99000168";"Eastern Asia";"2026-01-06 00:00:00";"First Class";2;"Delayed"
9;4;"Shipping on time";0;"Home Office";"USCA";"Rochester";"Estados Unidos";"2024-06-10 00:00:00";1;299.980011;"84.5";"US Center ";"2024-06-14 00:00:00";"Standard Class";4;"On Time"
10;3;"Advance shipping";0;"Consumer";"LATAM";"Bayeux";"Brasil";"2025-06-09 00:00:00";1;199.9900055;"57.41999817";"South America";"2025-06-12 00:00:00";"Standard Class";3;"On Time"
11;0;"Shipping on time";0;"Consumer";"Pacific Asia";"Christchurch";"Nueva Zelanda";"2024-03-18 00:00:00";5;250.0;"58.5";"Oceania";"2024-03-18 00:00:00";"Same Day";0;"Delayed"
12;5;"Late delivery";1;"Consumer";"Europe";"Berlín";"Alemania";"2025-10-01 00:00:00";1;999.9899902;"-177.6600037";"Western Europe";"2025-10-06 00:00:00";"Standard Class";5;"On Time"
13;3;"Advance shipping";0;"Consumer";"USCA";"Los Angeles";"Estados Unidos";"2024-07-28 00:00:00";2;100.0;"34.49000168";"West of USA ";"2024-07-31 00:00:00";"Standard Class";3;"On Time"
14;2;"Advance shipping";0;"Consumer";"Europe";"Berlín";"Alemania";"2023-09-05 00:00:00";1;399.980011;"108.1500015";"Western Europe";"2023-09-07 00:00:00";"Standard Class";2;"Delayed"
15;2;"Late delivery";1;"Consumer";"Europe";"Viena";"Austria";"2025-09-17 00:00:00";1;129.9900055;"10.97999954";"Western Europe";"2025-09-19 00:00:00";"First Class";2;"Delayed"
16;2;"Late delivery";1;"Consumer";"LATAM";"Salvador";"Brasil";"2023-05-23 00:00:00";3;149.9400024;"36.88999939";"South America";"2023-05-25 00:00:00";"First Class";2;"On Time"
17;4;"Shipping on time";0;"Consumer";"Pacific Asia";"Medan";"Indonesia";"2025-12-12 00:00:00";1;215.8200073;"59.15000153";"Southeast Asia";"2025-12-16 00:00:00";"Standard Class";4;"On Time"
18;6;"Late delivery";1;"Home Office";"Pacific Asia";"Mandurah";"Australia";"2024-03-20 00:00:00";1;50.0;"3.25999999";"Oceania";"2024-03-26 00:00:00";"Second Class";6;"On Time"
19;3;"Advance shipping";0;"Home Office";"Europe";"Carcassonne";"Francia";"2025-07-18 00:00:00";4;159.9600067;"59.27000046";"Western Europe";"2025-07-21 00:00:00";"Standard Class";3;"Delayed"
20;1;"Late delivery";1;"Consumer";"USCA";"Houston";"Estados Unidos";"2024-04-26 00:00:00";4;199.9199982;"86.20999908";"US Center ";"2024-04-27 00:00:00";"Same Day";1;"Delayed"
21;4;"Shipping on time";0;"Home Office";"Pacific Asia";"Qitaihe";"China";"2023-12-21 00:00:00";3;150.0;"-25.20000076";"Eastern Asia";"2023-12-25 00:00:00";"Standard Class";4;"On Time"
22;3;"Advance shipping";0;"Home Office";"Pacific Asia";"Kediri";"Indonesia";"2023-12-01 00:00:00";1;399.980011;"-266.7900085";"Southeast Asia";"2023-12-04 00:00:00";"Standard Class";3;"Delayed"
23;3;"Advance shipping";0;"Consumer";"Pacific Asia";"Bangkok";"Tailandia";"2026-01-06 00:00:00";1;260.6499939;"-202.2599945";"Southeast Asia";"2026-01-09 00:00:00";"Standard Class";3;"Delayed"
24;2;"Late delivery";1;"Consumer";"Europe";"Hastings";"Reino Unido";"2023-06-12 00:00:00";1;49.97999954;"-9.779999733";"Northern Europe";"2023-06-14 00:00:00";"First Class";2;"Delayed"
25;5;"Late delivery";1;"Consumer";"USCA";"Seattle";"Estados Unidos";"2024-08-06 00:00:00";1;199.9900055;"97";"West of USA ";"2024-08-11 00:00:00";"Second Class";5;"Delayed"
26;5;"Late delivery";1;"Corporate";"LATAM";"Managua";"Nicaragua";"2023-03-15 00:00:00";3;150.0;"30";"Central America";"2023-03-20 00:00:00";"Standard Class";5;"On Time"
27;2;"Advance shipping";0;"Consumer";"LATAM";"Jequié";"Brasil";"2025-06-11 00:00:00";1;129.9900055;"48.88000107";"South America";"2025-06-13 00:00:00";"Standard Class";2;"On Time"
28;2;"Late delivery";1;"Corporate";"Pacific Asia";"Mount Gambier";"Australia";"2026-01-01 00:00:00";1;532.5800171;"104.0100021";"Oceania";"2026-01-03 00:00:00";"First Class";2;"Delayed"
29;2;"Shipping on time";0;"Home Office";"Europe";"Drancy";"Francia";"2025-07-22 00:00:00";3;299.9700012;"132.2899933";"Western Europe";"2025-07-24 00:00:00";"Second Class";2;"Delayed"
30;3;"Advance shipping";0;"Consumer";"LATAM";"Tegucigalpa";"Honduras";"2025-02-09 00:00:00";5;299.9500122;"-49.86999893";"Central America";"2025-02-12 00:00:00";"Standard Class";3;"On Time"
31;2;"Late delivery";1;"Corporate";"Africa";"Huambo";"Angola";"2024-11-11 00:00:00";1;19.98999977;"5.670000076";"Central Africa";"2024-11-13 00:00:00";"First Class";2;"Delayed"
32;3;"Advance shipping";0;"Corporate";"LATAM";"Jaboticabal";"Brasil";"2023-02-16 00:00:00";1;39.99000168;"12.60000038";"South America";"2023-02-19 00:00:00";"Standard Class";3;"On Time"
33;2;"Advance shipping";0;"Home Office";"Pacific Asia";"Homs";"Siria";"2024-12-13 00:00:00";2;100.0;"-145.1999969";"West Asia";"2024-12-15 00:00:00";"Standard Class";2;"On Time"
34;4;"Shipping on time";0;"Consumer";"LATAM";"Cárdenas";"Cuba";"2023-04-02 00:00:00";1;129.9900055;"14.35000038";"Caribbean";"2023-04-06 00:00:00";"Standard Class";4;"On Time"
35;4;"Shipping on time";0;"Consumer";"LATAM";"Santiago de los Caballeros";"República Dominicana";"2023-03-27 00:00:00";2;119.9800034;"25.20000076";"Caribbean";"2023-03-31 00:00:00";"Standard Class";4;"Delayed"
36;2;"Shipping canceled";0;"Consumer";"Pacific Asia";"Pekín";"China";"2026-01-18 00:00:00";1;39.75;"18.12000084";"Eastern Asia";"2026-01-20 00:00:00";"Standard Class";2;"On Time"
37;5;"Late delivery";1;"Corporate";"Europe";"Praga";"República Checa";"2024-12-12 00:00:00";5;299.9500122;"88.19999695";"Eastern Europe";"2024-12-17 00:00:00";"Standard Class";5;"On Time"
38;4;"Late delivery";1;"Consumer";"LATAM";"David";"Panamá";"2023-04-21 00:00:00";1;129.9900055;"-227.4799957";"Central America";"2023-04-25 00:00:00";"Second Class";4;"On Time"
39;3;"Advance shipping";0;"Consumer";"Europe";"Emden";"Alemania";"2023-10-11 00:00:00";2;199.9799957;"78.38999939";"Western Europe";"2023-10-14 00:00:00";"Standard Class";3;"Delayed"
40;3;"Advance shipping";0;"Home Office";"LATAM";"Petapa";"Guatemala";"2025-04-29 00:00:00";4;199.9199982;"94.04000092";"Central America";"2025-05-02 00:00:00";"Standard Class";3;"On Time"
41;2;"Late delivery";1;"Consumer";"Africa";"Orán";"Argelia";"2024-11-05 00:00:00";1;199.9900055;"58.79999924";"North Africa";"2024-11-07 00:00:00";"First Class";2;"Delayed"
42;4;"Shipping on time";0;"Home Office";"Europe";"Sandnes";"Noruega";"2025-07-06 00:00:00";1;399.980011;"-12.77000046";"Northern Europe";"2025-07-10 00:00:00";"Standard Class";4;"On Time"
43;4;"Shipping on time";0;"Consumer";"Europe";"Rome";"Italia";"2025-08-11 00:00:00";1;299.980011;"29.39999962";"Southern Europe";"2025-08-15 00:00:00";"Standard Class";4;"Delayed"
44;3;"Advance shipping";0;"Corporate";"Europe";"Florence";"Italia";"2025-08-10 00:00:00";1;129.9900055;"6.800000191";"Southern Europe";"2025-08-13 00:00:00";"Standard Class";3;"Delayed"
45;3;"Advance shipping";0;"Corporate";"Pacific Asia";"Huaibei";"China";"2023-12-06 00:00:00";5;299.9500122;"82.86000061";"Eastern Asia";"2023-12-09 00:00:00";"Standard Class";3;"Delayed"
46;6;"Late delivery";1;"Consumer";"LATAM";"Itaúna";"Brasil";"2025-02-10 00:00:00";4;200.0;"15.48999977";"South America";"2025-02-16 00:00:00";"Standard Class";6;"Delayed"
47;5;"Late delivery";1;"Home Office";"LATAM";"Santiago de Chile";"Chile";"2025-03-09 00:00:00";1;399.980011;"188.9900055";"South America";"2025-03-14 00:00:00";"Second Class";5;"On Time"
48;6;"Late delivery";1;"Home Office";"Europe";"Capua";"Italia";"2025-08-16 00:00:00";1;129.9900055;"-5.03000021";"Southern Europe";"2025-08-22 00:00:00";"Standard Class";6;"On Time"
49;6;"Late delivery";1;"Corporate";"LATAM";"Soyapango";"El Salvador";"2025-04-01 00:00:00";3;150.0;"-8.949999809";"Central America";"2025-04-07 00:00:00";"Standard Class";6;"Delayed"
50;4;"Shipping on time";0;"Consumer";"Europe";"Maidenhead";"Reino Unido";"2025-06-30 00:00:00";1;199.9900055;"1.860000014";"Northern Europe";"2025-07-04 00:00:00";"Standard Class";4;"On Time"
51;6;"Late delivery";1;"Consumer";"LATAM";"Buenos Aires";"Argentina";"2025-02-07 00:00:00";5;250.0;"52.5";"South America";"2025-02-13 00:00:00";"Standard Class";6;"On Time"
52;0;"Shipping on time";0;"Home Office";"Europe";"Leipzig";"Alemania";"2023-07-26 00:00:00";5;199.9499969;"25.20999908";"Western Europe";"2023-07-26 00:00:00";"Same Day";0;"On Time"
53;3;"Late delivery";1;"Consumer";"Pacific Asia";"Palembang";"Indonesia";"2025-12-06 00:00:00";1;11.53999996;"3.210000038";"Southeast Asia";"2025-12-09 00:00:00";"Second Class";3;"Delayed"
